,Title,Abstract,Venue,Year,Reference_Count,Citation_Count,Influential_Citation_Count,Open_Access,TLDR,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,fieldsOfStudy,Publication_Type
10,Dissociating the neural bases of repetition-priming and adaptation in the human brain for faces.,"The repetition of a given stimulus leads to the attenuation of the functional magnetic resonance imaging (fMRI) signal compared with unrepeated stimuli, a phenomenon called fMRI adaptation or repetition suppression (RS). Previous studies have related RS of the fMRI signal behaviorally both to improved performance for the repeated stimulus (priming) and to shifts of perception away from the first stimulus (adaptation-related aftereffects). Here we used identical task (sex discrimination), trial structure [stimulus 1 (S1): 3,000 ms, interstimulus interval: 600 ms, stimulus 2 (S2): 300 ms], and S2 stimuli (androgynous faces) to test how RS of the face-specific areas of the occipito-temporal cortex relates to priming and aftereffects. By varying S1, we could induce priming (significantly faster reaction times when S1 and S2 were identical compared with different images) as well as sex-specific aftereffect [an increased ratio of male responses if S1 was a female face compared with ambiguous faces or to Fourier-randomized noise (FOU) images]. Presenting any face as S1 led to significant RS of the blood oxygen level-dependent signal in the fusiform and occipital face areas as well as in the lateral occipital cortex of both hemispheres compared with FOU, reflecting stimulus category-specific encoding. Additionally, while sex-specific adaptation effects were only observed in occipital face areas, primed trials led to a signal reduction in both face-selective regions. Altogether, these results suggest the differential neural mechanisms of adaptation and repetition priming.",Journal of Neurophysiology,2013,120,17,0,False,"{'model': 'tldr@v2.0.0', 'text': 'While sex-specific adaptation effects were only observed in occipital face areas, primed trials led to a signal reduction in both face-selective regions, suggesting the differential neural mechanisms of adaptation and repetition priming.'}",10,31647771,Daniel Kaiser,3744259,Christian Walther,2375931,S. Schweinberger,144361427,G. Kovács,,,,,"Psychology, Medicine",JournalArticle
11,Reasons for disclosure of gender to pregnant women during prenatal ultrasonography,"Background The objective of this study was to determine the proportion of women who want to know fetal gender on antenatal ultrasonography and the reasons behind this. Methods A descriptive, cross-sectional study was carried out between March 10, 2012 and September 10, 2012 at two tertiary care hospitals (Dow University Hospital, Ojha Campus, and Lady Dufferin Hospital) in Karachi. In total, 223 pregnant women who attended the antenatal clinic and gave their consent were included in the study. Information was collected on a predesigned questionnaire. Results Of the 223 pregnant women, 109 (49.1%) were younger than 25 years. The majority (216, 96.9%) were Muslim, 164 (73.4%) were educated to different levels, 121 (54.3%) spoke Urdu, and 66 (29.6%) were primigravidas. Thirty-four (15.2%) women had a preference for a male child, 24 (10.8%) had a female preference, and 165 (74%) had no preference. Seventy (31.4%) women were interested to know the fetal gender. The association between education and gender preference was found to be statistically significant (P = 0.004) and also that between age and gender preference (P = 0.05), but no relationship was found between gender preference and gender of previous babies (P = 0.317 for males and P = 0.451 for females). Association of ethnicity was also not statistically significant (P = 0.102). Conclusion This study revealed that 31.4% of women were interested in disclosure of gender on prenatal ultrasonography and only15.2% women had a preference for a male child.",International Journal of Women's Health,2013,26,7,1,True,"{'model': 'tldr@v2.0.0', 'text': 'This study revealed that 31.4% of women were interested in disclosure of gender on prenatal ultrasonography and only 15.2% women had a preference for a male child.'}",11,1418237773,Shazia Shukar-ud-din,2443988,F. Ubaid,1419880549,Erum Shahani,47969176,F. Saleh,,,,,Medicine,JournalArticle
12,Gendertrolling: Misogyny Adapts to New Media,,,2013,0,109,5,False,,12,2123525804,Mantilla Karla,,,,,,,,,,,Sociology,
13,‘A woman should learn in quietness and full submission’ (1 Timothy 2: 11): Empowering Women in the Fight against Masculine Readings of Biblical Texts and a Chauvinistic African Culture in the Face of HIV and AIDS,"The status of women has generally become a human rights issue the world over, and Zimbabwe has not been left behind in that debate. Unfortunately, some men and women still believe that for women to occupy influential positions in society is testimony to the coming of the end of the world. As a way of buttressing men's patriarchal or chauvinistic views, the bible is invoked to remind women about their place and role in society. Using a random sampling method, interviews were conducted with twenty-five men and twenty-five women in Harare, Zimbabwe, on their perspective on 1 Timothy 2: 11 in the light of the empowerment of women in Zimbabwean society. This paper seeks to prove that negative perceptions against women are unhelpful and retrogressive and go against millennium development goals, particularly when biblical texts like 1 Timothy 2: 11–12, Ephesians 5: 25, 1 Peter 3: 1–2, 1 Corinthians 7: 4–5 and 1 Corinthians 14: 33b–35 are invoked to fight against the empowerment of women in the face of HIV and AI...",,2013,0,5,0,False,,13,84645956,Francis Machingura,,,,,,,,,,,Sociology,
14,Exploring brand masculine patterns: moving beyond monolithic masculinity,"Purpose – This research seeks to explore the nature and the structure of brands' masculine dimensions; to develop a reliable and a valid scale to measure brand masculinity and to explore the different brand masculine patterns. Design/methodology/approach – A series of four studies developed and validated a two-factor, five-item measurement scale for brand masculinity using exploratory and confirmatory factor analyses. Content and face validities; reliability and internal validity; convergent and discriminant validities were established. Generalisability of the two dimensions across the gendering of product categories was assessed. A cluster analysis was used to explore brand masculine patterns. Findings – The results indicate that brand masculinity is a bi-dimensional construct (i.e. “Male chauvinism” and “Heroic” dimensions). A cluster analysis performed on 45 brands revealed four brand masculine patterns: hegemonic, emerging, chivalrous and subaltern. Research limitations/implications – French student s...",,2013,71,30,4,False,,14,32148313,Salim L. Azar,,,,,,,,,,,Psychology,
15,Difficulties of integrating older workers into the labor market: exploring the Israeli labor market,"Purpose – The purpose of this article is to examine the existence of biased stereotypes about older workers. What are the economic implications of such biased stereotypes? Finally, what policy measures are required in order to achieve efficiency in the labor market? Design/methodology/approach – The authors grouped 25 opinions about older workers into three categories of stereotypes. The first category dealt with the productivity of older staff. The other two categories addressed their reliability and adaptability. The authors then questioned 312 Israeli respondents about the degree to which they agreed or disagreed with the opinions. Finally, the authors examined theoretically the economic effects of biased stereotypes about older workers. Findings – The study demonstrates that individual and organizational characteristics affect employers' attitudes. Age was a significant factor in all three categories. The older the respondent, the fewer prejudices he or she had against older workers. Other characteristics such as gender, interaction with older workers, the nature of the respondent's work in the organization, the age of the employees, and the size of the organization were all significant, but not always, and not in all three categories. The findings imply that there are biased stereotypes about older workers, so the allocation of workers is distorted, which leads to a failure of the market. Originality/value – The results strengthen the economic justification for policy intervention to correct the distorted level of employment of older workers in the labor market.",,2013,27,20,0,False,,15,22273530,Hila Axelrad,40126724,Israel Luski,118958906,Malul Miki,,,,,,,Economics,
16,"Domestic violence and its predictors among married women in reproductive age in Fagitalekoma Woreda, Awi zone, Amhara regional state, North Western Ethiopia",,Reproductive Health,2013,46,73,5,True,"{'model': 'tldr@v2.0.0', 'text': 'The prevalence of domestic violence was very high as compared to other studies, and women’s husband alcohol consumption, decision making power annual household income and being pregnant are some of the predictors of domesticviolence against women.'}",16,6418939,Agumasie Semahegn,5080078,T. Belachew,7612406,Misra Abdulahi,,,,,,,Medicine,JournalArticle
17,"Reclaiming the Public Space: Breastfeeding Rights, Protection, and Social Attitudes","Breastfeeding is a normal physiological process. Despite the literature that indicates the importance of breastfeeding in terms of maternal and infant health, there is still opposition to women breastfeeding in public spaces. This manifests itself in private commercial establishments preventing mothers from breastfeeding or ordering them to stop. Mothers are thereby discouraged from feeding in public or in private spaces open to the public (quasi-public spaces). In this article, the authors advocate for stronger legal protections for mothers who seek to breastfeed in public or quasi-public spaces. While breastfeeding in such spaces is implicitly protected under human rights law, this in itself does not send a strong enough message. Accordingly governments should amend human rights legislation to explicitly recognize the right to breastfeed in public and quasi-public spaces. Furthermore, the authors contend that governments should make it an offence to prohibit or prevent women from breastfeeding in public or quasi-public spaces. Punishment for breach of the offence could result in a substantial fine. Importantly, it would place the onus of the litigation on the Crown and relieve mothers who are already burdened from having to litigate the matter. It would also demonstrate the State’s interest in assisting those who may be more vulnerable.",,2013,0,2,0,False,,17,104966726,Amar Khoday,13355353,A. Srinivasan,,,,,,,,,Political Science,
18,"Influence of Cross-Cultural Factors about Sexism, Perception of Severity, Victimization, and Gender Violence in Adolescent Dating Relationships","The phenomenon of adolescent dating violence directed towards women is a widespread social health problem all over the world. Various investigations over time have analysed and studied this problem from different perspectives, taking into account both the aggressors and the victims. However, apart from these perspectives there are other approaches that have been less explored. This study analyses the phenomenon from a cultural point of view. It looks at the way in which variables such as hostile sexism, benevolent sexism, and the perception of severity attributed to violent behaviour perpetrated by the aggressor can differ depending on the country of origin of a group of victimized adolescent women, specifically, from Spain and Ecuador. The data analysis, based on the construction of a moderated mediation model, revealed that while hostile sexism seems to be linked to a greater extent with traditional cultures, benevolent sexism is highly relevant in today’s society, and modifies the severity that young female victims attribute to violent behaviour and ultimately affects the frequency of victimization. These results revealed the importance of culture and the way in which violence is perceived in different countries as an essential aspect that must be taken into account to guide the construction of effective prevention programs adapted to the specific target groups of adolescents.",International Journal of Environmental Research and Public Health,2022,92,0,0,True,,18,1398947095,I. Cuadrado-Gordillo,2175520447,Guadalupe Martín-Mora-Parra,,,,,,,,,Medicine,JournalArticle
19,Models for Aggression by Police Officers towards Romantic Partners and Police Partners,"Past research documents that occupational challenges faced by police officers may increase the risk of aggression toward romantic partners, but little research is available on aggression by police officers in another close relationship, that occurring within the ‘fraternal order’, toward their police partners. The purpose of the present study was to enhance understanding of police aggression in close relationships by comparing ‘models' of aggression suggested by Social Learning Theory, including powerful others or peers from the ‘home family’ (father, mother, siblings) and from the ‘police family’ (police supervisor, police partner). Participants included 120 police officers (95 per cent male; mean age = 38.9 years; 90 per cent Caucasian) who completed anonymous questionnaires to report aggression in each relationship using the 12-item Revised Conflict Tactics Scale. Multiple regression revealed that the set of ‘home family’ and ‘police family’ models of aggression explained 35.5 per cent of the variance in romantic partner aggression and 59.1 per cent of the variance in police partner aggression reported by officers, with aggression from the father and the police supervisor being the most significant models of aggression. Results suggest that in terms of aggression used as a conflict resolution strategy in close relationships, police officers experience less of a ‘fraternal order’ than a ‘paternal order’, with ‘father-figure’ individuals serving as the most significant models. Employee Assistance Programmes to encourage ‘PEACE IN THE FAMILY’ for police may require participation by police supervisors, who must also work to model non-aggressive means of conflict resolution within their departments.",,2013,19,3,1,False,,19,145347561,S. Can,3362654,H. Hendy,117580185,Meaghan Imbody,,,,,,,Psychology,JournalArticle
20,Hiring discrimination based on national origin and religious closeness: results from a field experiment in the Paris area,,,2013,23,57,6,False,,20,2071071337,Guillaume Pierné,,,,,,,,,,,Sociology,
21,Online belongings : female fan experiences in online soccer forums,,,2013,0,10,0,False,,21,35128476,D. Hynes,115273067,Ann-Marie Cook,,,,,,,,,Political Science,
22,Citizenship and Security,"1. Introduction: Security and Citizenship Xavier Guillaume and Jef Huysmans 2. Citizenship and Securitising: Interstitial Politics Jef Huysmans and Xavier Guillaume Part I: Changing Citizenship Regimes 3. Liberating Irregularity: No Borders, Temporality, Citizenship Peter Nyers 4. Two Regimes of Rights? Engin F. Isin 5. Toward Global Citizenship Practice? Antje Wiener Part II: Insecure State-Citizen Relations 6. Marketing Security Matters: Undermining De-Securitizazion through Acts of Citizenship Anna Leander 7. The Possible and Legitimate: Security and the Individualization of Citizenship Practices Akos Kopper 8. Internal Control and Claims of Rights: Undocumented Immigrants and Local Politics Flora Burchianti Part III: Crafting Political Community and Nationalism 9. Diasporas, Security, Citizenship Francesco Ragazzi 10. Curbing Marriages of Convenience? Female Labour Migrants from Post-Socialist Countries, Patriarchal Domination, and the 2003 Biopolitical Securitization of Turkish Citizenship Sandrine Berteaux and Firat Bozcali 11. Recrafting Political Community Angharad Closs Stephens Part IV: Democracy in Action in Times of Insecurity 12. The Right to Protect and the Right to Protection, and How Democracies balance them Yagil Levy 13. Muslims' Integration in Switzerland: Securitizing Citizenship, Weakening Democracy? Matteo Gianni",,2013,26,25,1,False,,22,12154523,X. Guillaume,118393128,J. Huysmans,,,,,,,,,Political Science,
23,An Introduction to a Whole-Education Approach to School Bullying: Recommendations from UNESCO Scientific Committee on School Violence and Bullying Including Cyberbullying,,International Journal of Bullying Prevention,2022,2,6,1,False,,23,49412707,C. Cornu,2154110726,Parviz Abduvahobov,2154110432,Rym Laoufi,2144410079,Yongfeng Liu,2154110856,Sylvain Séguy,,,,
24,Emerging Therapeutic Enhancement Enabling Health Technologies and Their Discourses: What Is Discussed within the Health Domain?,"So far, the very meaning of health and therefore, treatment and rehabilitation is benchmarked to the normal or species-typical body. We expect certain abilities in members of a species; we expect humans to walk but not to fly, but a bird we expect to fly. However, increasingly therapeutic interventions have the potential to give recipients beyond species-typical body related abilities (therapeutic enhancements, TE). We believe that the perfect storm of TE, the shift in ability expectations toward beyond species-typical body abilities, and the increasing desire of health consumers to shape the health system will increasingly influence various aspects of health care practice, policy, and scholarship. We employed qualitative and quantitative methods to investigate among others how human enhancement, neuro/cognitive enhancement, brain machine interfaces, and social robot discourses cover (a) healthcare, healthcare policy, and healthcare ethics, (b) disability and (c) health consumers and how visible various assessment fields are within Neuro/Cogno/Human enhancement and within the BMI and social robotics discourse. We found that health care, as such, is little discussed, as are health care policy and ethics; that the term consumers (but not health consumers) is used; that technology, impact and needs assessment is absent; and that the imagery of disabled people is primarily a medical one. We submit that now, at this early stage, is the time to gain a good understanding of what drives the push for the enhancement agenda and enhancement-enabling devices, and the dynamics around acceptance and diffusion of therapeutic enhancements.",Healthcare,2013,314,13,0,True,"{'model': 'tldr@v2.0.0', 'text': 'It is submitted that now, at this early stage, is the time to gain a good understanding of what drives the push for the enhancement agenda and enhancement-enabling devices, and the dynamics around acceptance and diffusion of therapeutic enhancements.'}",24,2210966,G. Wolbring,34758613,Lucy Diep,2039589,Sophya Yumakulov,145286708,Natalie Ball,2923882,Verlyn Leopatra,2227888,D. Yergens,"Psychology, Medicine",JournalArticle
25,Feminist challenges: Social and political theory,"Acknowledgements Contributors 1. Introduction: the theoretical subversiveness of feminism Carole Pateman Part I: The Challenge to Theory: 2. Feminism, philosophy and riddles without answers Moira Gatens 3. Vanishing acts in social and political thought: tricks of the trade Beverly Thiele 4. Ethics revisited: women and/in philosophy Rosi Braidotti Part II: The Challenge to Liberalism: 5. Selfhood, war and masculinity Genevieve Lloyd 6. Sex equality is not enough for feminism Merle Thornton 7. Women and political rationality Janna Thompson 8. Desire, consent and liberal theory Lenore Coltheart Part III: The Challenge to Academia: 9. Philosophy, subjectivity and the body: Kristeva and Irigaray Elizabeth Gross 10. Simone de Beauvoir: philosophy and/or the female body Catriona Mackenzie 11. Women, domestic life and sociology Anna Yeatman 12. Evidence and silence: feminism and the limits of history Judith Allen 13. Conclusion: what is feminist theory? Elizabeth Gross Bibliography",,1986,0,126,1,False,,25,117109728,C. Pateman,2056057111,Elizabeth Gross,,,,,,,,,Sociology,
26,Towards an Integrated Information System for Retail Management,"Retail management recognise the competitive edge that can be provided by actionable information. In moving towards an integrated retail management information system, it is recognised that a general driving force behind investments in information technology (IT) is the need for more detailed information about customers. Marketing (and distribution and service) can apply IT to increase their efficiency, and, more importantly, to promote their effectiveness in the increasingly competitive environment. It is argued that a management information-system should be viewed as ‘emancipatory’, permitting new decisionmaking processes, and that data from recent developments such as charge cards and electronic point of sales systems offer new opportunities. Attention focuses initially on the marketing function requirements for information about the local demand for goods and services and about the competitive position. It is suggested that real progress, driven by this external marketing perspective, will only occur through development of an integrated information-system (and that the necessary integration will require the framework of knowledge-based management-systems, rather than conventional data-based management-systems).",,1989,11,4,0,False,,26,2211604,J. R. Beaumont,,,,,,,,,,,Business,JournalArticle
27,"Women’s friendships at work: power, possibilities and potential","In this paper we explore senior women’s experiences of friendships with other women at work, guided by the following research questions: how do senior women construct friendship? How do they experience friendships and intra-gender friendships with women at work and how do gendered contexts facilitate or constrain women’s friendships with women in organizations? Of particular interest to our study is the potential instrumentality of work friendships in developing women’s homosociality and/or challenging hegemonic masculinity in organizations. We draw upon qualitative data from a wider study of 81 senior women, exploring women’s relations with women at work in the areas of friendship, competition, ambition and cooperation. We begin by outlining what we understand as elements of gendered contexts: our position on gender and hegemonic masculinity, homosociality and homosocial desire within patriarchal organizations and explain homophily as social processes of friendship which take place within these gendered contexts. We then outline our qualitative research approach with senior women working in UK based organisations and present our findings, drawing upon extracts from the women’s interviews and provide our theoretical and practice contributions. Specifically we contribute to HRD and gender in management research by highlighting how senior women construct friendship and how and why they mark the social boundary of friendship inside and outside work. We consider the impact of the findings, where over half the senior women do not ‘do friendship’ at work, on women’s potential for instrumental homosociality as a means of challenging the gendered status quo in organizations and identify areas for future research. Through the process of the research itself we aim to raise consciousness to the potential of positive women’s intra-gender social relations in developing more gender balanced, diverse senior teams and subsequently organizations.",,2012,68,5,2,False,,27,2111787575,Jannine Williams,79833257,S. Mavin,16833724,N. Patterson,73841695,P. Bryans,,,,,Political Science,
28,Bisexual Women: Friendship and Social Organization,,,2013,0,3,0,False,,28,3817118,M. P. Galupo,,,,,,,,,,,Sociology,
29,"Forensic Science in Contemporary American Popular Culture: Gender, Crime, and Science",,,2012,1,24,2,False,,29,97942874,Lindsay Steenberg,,,,,,,,,,,History,
30,"Elite Girls' Schooling, Social Class and Sexualised Popular Culture","1. Beholden to No One: Elite Schoolgirls in the 21st Century 2. ""Normative"" Femininities: From Romance and Domesticity to Raunch and Visibility? 3. (Re)searching for Girls' Resistance 4. Becoming ""Lady Bountiful"": Elite Schooling, Social Class and Girl Citizenship 5. 'Hey Skank Face, You Can't Dress Properly!': Revisiting Sexuality and Social Class 6. 'She's Doing it for Herself': Negotiating Sexualised Popular Culture 7. Conclusions: ""Elite"" Schoolgirls, Normative Femininities/Sexualities and Resistance",,2013,0,16,1,False,,30,118917005,C. Charles,,,,,,,,,,,Sociology,
31,Feminist faith lives? Exploring perceptions of feminism among two Anglican cohorts,,,2013,0,1,0,False,,31,47993284,S. Page,,,,,,,,,,,Sociology,
32,The faith lives of women and girls : qualitative research perspectives,"Contents: Introduction, Anne Phillips, Fran Porter and Nicola Slee Part I Feminist Research Perspectives: Feminist qualitative research as spiritual practice: reflections on the process of doing qualitative research, Nicola Slee From privacy to prophecy: public and private in researching women's faith and spirituality, Jan Berry. Part II Neglected Ages, Stages and Styles in Women's and Girls' Faith Lives: Understanding the work of women in religion, Abby Day Feminist faith lives? Exploring perceptions of feminism among two Anglican cohorts, Sarah-Jane Page Being in communion: patterns of inclusion and exclusion in young lay women's experiences of Eucharist in the Church of England, Kim Wasey God talk/girl talk: a study of girls' lives and faith in early adolescence, with reflections on those of their biblical fore-sisters, Anne Phillips. Part III Female Faith in Diverse Ecclesial and Geographical Contexts: The 'in-the-middle' God: women, community conflict and power in Northern Ireland, Fran Porter Fat chicks, blue books and green valleys: identity, women and religion in Wales, Manon Ceridwen James Searching for sisters: the influence of biblical role models on young women from mainstream and charismatic evangelical traditions, Ruth Perrin The use of patriarchal language in the Church of God of Prophecy: a case study, Deseta Davis. Part IV Women's Spiritual Practices, Beliefs and Attachments: Broken Silence: researching with women to find a voice, Emma Rothwell Integrating ritual: an exploration of women's responses to Woman-Cross, Susanna Gunner Silent gifts: an exploration of relationality in contemporary Christian women's chosen practices of silence, Alison Woolley Patterns of women's religious attachments, Eun Sim Joung Boundaries and beyond: weaving women's experiences of spiritual accompaniment, Caroline Kitcatt Understanding Jesus Christ: women explore liberating and empowering Christologies, Francesca Rhys. Part V Experiences of Liminality in Women's Faith Lives: The relevance of a theology natality for a theology of death and dying and pastoral care: some initial reflections, Jennifer Hurd The liminal space in motherhood: spiritual experiences of first-time mothers, Noelia Molina How survivors of abuse relate to God: a qualitative study, Susan Shooter Bibliography Index.",,2013,0,5,0,False,,32,48025820,N. Slee,119074799,F. Porter,2069070787,Anne Phillips,,,,,,,Sociology,
33,The Better Story: Queer Affects from the Middle East,,,2016,0,37,9,True,,33,103798075,N. Rahimieh,,,,,,,,,,,History,
