,abstract,prism:coverDate,prism:aggregationType,subtypeDescription,prism:publicationName,source-id,citedby-count,prism:volume,title,openaccess,openaccessFlag,prism:doi,dc:publisher,venue,year,referenceCount,influentialCitationCount,tldr,index,author_1_id,author_1_name,author_2_id,author_2_name,author_3_id,author_3_name,author_4_id,author_4_name,author_5_id,author_5_name,author_6_id,author_6_name,author_1_paperCount,author_1_citationCount,author_1_hIndex,author_2_paperCount,author_2_citationCount,author_2_hIndex,author_3_paperCount,author_3_citationCount,author_3_hIndex,author_4_paperCount,author_4_citationCount,author_4_hIndex,author_5_paperCount,author_5_citationCount,author_5_hIndex,author_6_paperCount,author_6_citationCount,author_6_hIndex,fieldsOfStudy
461,"© The Author(s) 2018.Relationship dissatisfaction is a known risk factor for intimate partner aggression (IPA). However, the possible effect of weak emotion regulation skills on this association is unclear, particularly in couples at risk for violence who drink alcohol heavily. This study examined the moderating effect of emotion regulation on the association between relationship dissatisfaction and physical IPA perpetration within a dyadic framework. Participants were 583 heavy drinking couples (N = 1,166) with a recent history of psychological and/or physical IPA recruited from two metropolitan cities in the United States. Multilevel models were used to examine effects within an actor–partner interdependence framework. Gender, Actor dissatisfaction, and Actor and Partner emotion regulation were associated with greater physical IPA perpetration. Actor relationship dissatisfaction predicted significantly greater physical IPA perpetration in Actors characterized by weak versus strong emotion regulation. Furthermore, partner relationship dissatisfaction predicted significantly increased physical IPA perpetration in Actors reporting weak, versus strong, emotion regulation. Gender did not significantly interact with model variables. Utilizing the I3 metatheoretical model of IPA within a dyadic framework, results provide insight into the interactive effects of relationship dissatisfaction and emotion regulation deficits on physical IPA perpetration, particularly in those individuals already at risk for perpetration.",2021-05-01,Journal,Article,Journal of Interpersonal Violence,20374,7,36,"Relationship Dissatisfaction, Emotion Regulation, and Physical Intimate Partner Aggression in Heavy-Drinking, Conflict-Prone Couples: A Dyadic Analysis",2,,10.1177/0886260518801019,SAGE Publications Inc.,Journal of Interpersonal Violence,2018.0,77.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Use of the I3 metatheoretical model of IPA within a dyadic framework provides insight into the interactive effects of relationship dissatisfaction and emotion regulation deficits on physical IPA perpetration, particularly in those individuals already at risk for perpetration.'}",461,50273088,Miklós B. Halmos,34200116,R. Leone,3853770,D. Parrott,6645327,C. Eckhardt,,,,,11.0,87.0,4.0,43.0,322.0,11.0,135.0,4155.0,38.0,95.0,4565.0,36.0,,,,,,,"Medicine, Psychology"
462,"© The Author(s) 2018.Nonfatal strangulation between intimate partners represents an extreme controlling form of violent behavior, increasing the risk that intimate partner violence (IPV) becomes lethal. Guided by Dutton and Goodman’s conceptualization of coercive control, the present research explored the relation between death threats and subsequent nonfatal strangulation to amplify the credibility of those threats, using a large sample of IPV perpetrators (n = 6,488). Logistic regression analyses determined the relation between overt threats to a partner’s life during an initial incident arrest and subsequent nonfatal strangulation postincident arrest, accounting for perpetrator characteristics and assessed risk. Results showed the highly gendered nature of this violent behavior, noting that men were significantly more likely than women to persist in nonfatal strangulation. Given the potential lethality of this violent behavior, the analysis also explored whether treatment service recommendations (family violence education, counseling, and mental health evaluation) mitigate these patterns. These preliminary findings support the further exploration of treatment and intervention efforts for reducing nonfatal strangulation.",2021-05-01,Journal,Article,Journal of Interpersonal Violence,20374,15,36,Coercive Control Between Intimate Partners: An Application to Nonfatal Strangulation,0,false,10.1177/0886260518795175,SAGE Publications Inc.,Journal of Interpersonal Violence,2018.0,74.0,6.0,"{'model': 'tldr@v2.0.0', 'text': 'Preliminary findings support the further exploration of treatment and intervention efforts for reducing nonfatal strangulation and show the highly gendered nature of this violent behavior, noting that men were significantly more likely than women to persist in nonf fatal strangulation.'}",462,121369644,R. Stansfield,104762550,K. Williams,,,,,,,,,61.0,623.0,15.0,92.0,6423.0,32.0,,,,,,,,,,,,,"Psychology, Medicine"
463,"© The Author(s) 2018.This research examines how binary gender (male or female) interacts with trans status (cis or trans) to determine rape myth acceptance (RMA), perceived similarity, victim empathy, and victim blaming. Utilizing vignette methodology with an acquaintance rape scenario with a heterosexual female victim, we analyze these variables using multivariate ordinary least squares (OLS) and ordered logit regression. We find support for the argument that both harm avoidance and blame avoidance are operating to predict similarity, empathy, and victim blaming experienced by cisgender and transgender individuals. We argue that this is based on in-group identification from both gender identity and perceived likelihood of future victimization. Specifically, we find that cisgender men have the lowest rates of perceived similarity. Transgender women have the highest rates of empathy whereas cisgender women and trans men have lower rates of victim blaming than cisgender men. Results suggest that the interaction between binary gender and trans status influence perceptions of rape myths and victimization.",2021-05-01,Journal,Article,Journal of Interpersonal Violence,20374,0,36,Blame Avoidance and Transgender Individuals’ Attributions About Rape: Unpacking Gendered Assumptions in Defensive Attribution Research,0,false,10.1177/0886260518792241,SAGE Publications Inc.,Journal of Interpersonal Violence,2018.0,60.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Support is found for the argument that both harm avoidance and blame avoidance are operating to predict similarity, empathy, and victim blaming experienced by cisgender and transgender individuals.'}",463,1431274018,Bridget K. Diamond-Welch,51163448,Julia Marin Hellwege,32652262,Olivia Mann,,,,,,,11.0,37.0,3.0,8.0,9.0,2.0,6.0,7.0,2.0,,,,,,,,,,"Medicine, Psychology"
464,"© 2021 by the authors. Licensee MDPI, Basel, Switzerland.The problem of gender-based violence in Mexico has been increased considerably. Many social associations and governmental institutions have addressed this problem in different ways. In the context of computer science, some effort has been developed to deal with this problem through the use of machine learning approaches to strengthen the strategic decision making. In this work, a deep learning neural network application to identify gender-based violence on Twitter messages is presented. A total of 1,857,450 messages (generated in Mexico) were downloaded from Twitter: 61,604 of them were manually tagged by human volunteers as negative, positive or neutral messages, to serve as training and test data sets. Results presented in this paper show the effectiveness of deep neural network (about 80% of the area under the receiver operating characteristic) in detection of gender violence on Twitter messages. The main contribution of this investigation is that the data set was minimally pre-processed (as a difference versus most state-of-the-art approaches). Thus, the original messages were converted into a numerical vector in accordance to the frequency of word’s appearance and only adverbs, conjunctions and prepositions were deleted (which occur very frequently in text and we think that these words do not contribute to discriminatory messages on Twitter). Finally, this work contributes to dealing with gender violence in Mexico, which is an issue that needs to be faced immediately.",2021-04-02,Journal,Article,Mathematics,21100830702,4,9,Deep neural network for gender-based violence detection on twitter messages,1,true,10.3390/math9080807,MDPI AG,Mathematics,2021.0,79.0,1.0,"{'model': 'tldr@v2.0.0', 'text': 'Results presented in this paper show the effectiveness of deep neural network (about 80% of the area under the receiver operating characteristic) in detection of gender violence on Twitter messages.'}",464,2077526144,Carlos Castorena,71562371,Itzel Abundez,2578667,R. Alejo,1410653918,E. E. Granda-Gutiérrez,72336479,Eréndira Rendón,2090967961,Octavio Villegas,6.0,42.0,2.0,4.0,494.0,4.0,49.0,733.0,13.0,37.0,199.0,7.0,6.0,530.0,5.0,1.0,6.0,1.0,Computer Science
465,"© 2020 The Author(s). Published by Oxford University Press on behalf of the British Occupational Hygiene Society.Exposure to workplace violence puts child protection workers at risk for adverse occupational outcomes. While previous studies have identified protective and risk factors, individual differences in gender roles have yet to be explored. Moving beyond sex, the present study aims to examine the ways in which gender roles influence exposure to workplace violence, professional quality of life, and wellbeing at work among child protection workers. A randomized sample stratified by sex of 301 Canadian child protection workers (male: 15.6%, female: 84.4%) completed validated questionnaires of gender roles, professional quality of life, and wellbeing at work. We assessed mean differences using analyses of covariances controlling for clinical experience and type of work. We then assessed the moderating effect of gender roles on other variables through hierarchical multiple linear regressions. Androgyny (high masculinity and high femininity) was associated with higher scores on positive indicators of professional quality of life and wellbeing at work. However, gender roles showed no significant moderating effect on the relationship between exposure to violence, professional quality of life, and wellbeing at work. Results suggest that androgyny could be related to potential psychosocial benefits for child protection workers.",2021-04-01,Journal,Article,Annals of Work Exposures and Health,21100821119,2,65,Effect of Gender Roles and Workplace Violence on the Professional Quality of Life and Wellbeing at Work among Child Protection Workers,0,false,10.1093/annweh/wxaa099,Oxford University Press,Annals of Work Exposures and Health,2020.0,82.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Results suggest that androgyny could be related to potential psychosocial benefits for child protection workers, and gender roles showed no significant moderating effect on the relationship between exposure to violence, professional quality of life, and wellbeing at work.'}",465,2007624137,Renaud Dufour,113446410,R. Juster,10757038,Steve Geoffrion,,,,,,,2.0,2.0,1.0,137.0,5448.0,34.0,46.0,356.0,10.0,,,,,,,,,,"Medicine, Psychology"
466,"© 2021 American Academy of Pediatrics. All rights reserved.American Indian and Alaska Native (AI/AN) populations have substantial health inequities, and most of their disease entities begin in childhood. In addition, AI/AN children and adolescents have excessive disease rates compared with the general pediatric population. Because of this, providers of pediatric care are in a unique position not only to attenuate disease incidence during childhood but also to improve the health status of this special population as a whole. This policy statement examines the inequitable disease burden observed in AI/AN youth, with a focus on toxic stress, mental health, and issues related to suicide and substance use disorder, risk of and exposure to injury and violence in childhood, obesity and obesity-related cardiovascular risk factors and disease, foster care, and the intersection of lesbian, gay, bisexual, transgender, queer, and Two-Spirit and AI/AN youth. Opportunities for advocacy in policy making also are presented.",2021-04-01,Journal,Article,Pediatrics,15756,4,147,Caring for American Indian and Alaska native children and adolescents,0,false,10.1542/peds.2021-050498,American Academy of Pediatrics,Pediatrics,2021.0,116.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'A policy statement examines the inequitable disease burden observed in AI/AN youth, with a focus on toxic stress, mental health, and issues related to suicide and substance use disorder, risk of and exposure to injury and violence in childhood, obesity and obesity-related cardiovascular risk factors and disease, foster care, and the intersection of lesbian, gay, bisexual, transgender, queer, and Two-Spirit and AI/An youth.'}",466,31524230,Shaquita L. Bell,4704479,Jason F. Deen,50297989,M. Fuentes,145541817,K. Moore,,,,,13.0,35.0,3.0,30.0,473.0,9.0,31.0,309.0,8.0,81.0,1770.0,23.0,,,,,,,Medicine
467,"© 2021 The AuthorsObjective: To identify sexist violence features on different technological generations (Millennials and Generation X). Design: Descriptive cross-sectional study. Site: Region of Murcia, Spain. Participants: A total of 1269 users of social networks belonging to the Millennials generation (19–38 years) and Generation X (39–54 years) who are in a romantic relationship. Main measurements: The instrument “Questionnaire about new technologies to transmit gender violence”, analyzes the use of social networks, suffered and exercised violence on couples. The study variables have been the generational group, age, sex, alcohol and drug consumption, the level of formal education, origin and residence country and sexual orientation. Results: Millennials show a statistically significant association with the items on risk patterns in networks related to phising, sexting, flaming, false offers, cyberstalking, and webcam hijacking (p < 0.05), while regarding violence suffered only has been observed association in items related to flaming (OR: 0.405) (95% CI: 0.226–0.726) and sexual coercion (OR: 0.420) (95% CI: 0.200–0.882). Drugs increase risky activities, as well as violence suffered and practiced (p < 0.05). The women sample reports more pressure in sexual activities (OR: 2587) (95% CI: 1702–3931) and fears from their partners (OR: 2598) (95% CI: 1749–3857). Conclusions: The study shows higher risk patterns, as well as violence suffered and practiced in the Millennial group compared to Generation X. Also, it shows an increase generated by alcohol and drugs in the violence suffered and practiced by the study subjects. On the other hand, there are differences between the behaviors and violence suffered and practiced according to the different sexes, where the violence suffered by women is related to fear and activities of a sexual nature.",2021-04-01,Journal,Article,Atencion Primaria,28018,2,53,Sexist relationships in Generation X and Millennials Relaciones sexistas en la generación X y Millennials,1,true,10.1016/j.aprim.2021.101992,Elsevier Doyma,Atención Primaria,2021.0,30.0,1.0,,467,2098562055,Juan Francisco Rubio-Laborda,2103286224,Pilar Almansa-Martínez,1403297010,M. Pastor-Bravo,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,11.0,6.0,1.0,,,,,,,,,,
468,"© 2021 Elsevier Inc.Violence against women is a pervasive phenomenon affecting one in three women aged ≥15 in the world that are more likely to visit an emergency department (ED) for the serious physical and psychological consequences of the abuse. The aim of this observational single-centre study is to describe the socio-demographic and clinical variables associated with violence against women. We enrolled 425 female patients who attended an Italian ED for trauma on 2019 and the patients' information was collected and analyzed with descriptive statistics. The average age of the patients was 41.5 (standard deviation = 14.2) years. 74.6% of the women were Italians, and 86.6% were of metropolitan origin. The reasons for the ED visit included aggression (67.5%), accidental trauma (29.0%) and unknown reasons (3.5%). Multivariate analysis confirmed that three factors were independently associated with violence: nationality (odds ratio [OR] = 0.27; 95% confidence interval [CI], 0.09–0.77), head/face/neck injuries (OR = 7.32; 95% CI, 3.76–14.27) and multiple injuries (OR = 8.52; 95% CI, 1.03–70.47). Age over 25 was a protective factor. The study confirmed that being a foreigner and having head/face/neck injuries or multiple injuries are associated with violence against women.",2021-04-01,Journal,Article,Applied Nursing Research,27122,0,58,Violence against women: An observational study in an Italian emergency department,0,false,10.1016/j.apnr.2021.151411,W.B. Saunders,Applied Nursing Research,2021.0,48.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Being a foreigner and having head/face/neck injuries or multiple injuries are associated with violence against women, and age over 25 was a protective factor.'}",468,84210977,S. Minchella,6711354,Aurora De Leo,5066910,D. Orazi,11014249,L. Mitello,4473164,I. Terrenato,14623943,R. Latina,2.0,0.0,0.0,12.0,22.0,3.0,14.0,49.0,3.0,36.0,98.0,4.0,186.0,3651.0,32.0,58.0,337.0,10.0,Medicine
469,"© 2021 Elsevier B.V.Background: Prior research has demonstrated that various substances of abuse play a contributing role to acts of physical and verbal aggression. It is less clear if and to what extent substance use is associated with an increased risk in perpetrating cyber aggression, an emerging form of aggressive behavior that occurs through digital communication. Methods: A comprehensive review of the literature resulted in 15 studies and 18 unique samples from which effect size estimates were calculated. Results: Analyses resulted in a moderate, significant mean observed correlation indicating that individuals who engaged in substance use were more likely than those who did not to perpetrate cyber aggression (r = 0.24, k = 18, 95% CI = 0.20, 0.28). Comparing data across types of substances revealed that alcohol use represents a stronger risk factor for cyber aggression than nicotine, cannabis, or other illicit drugs. Results also suggest a stronger relationship between substance use and cyber aggression among older than younger samples and in the context of intimate partner rather than peer aggression. Comparable estimates of substance-related cyber aggression emerged across types of cyber aggression and perpetrator gender. Conclusions: Further research is required to increase confidence in estimates used in moderation analyses. As with traditional aggression, alcohol use appears to represent a risk factor for cyber aggression, though it is unclear if the disinhibitory properties of alcohol are the mechanism of action for substance-related cyber aggression.",2021-04-01,Journal,Review,Drug and Alcohol Dependence,26380,4,221,A meta-analytic review of the relationship between cyber aggression and substance use,0,false,10.1016/j.drugalcdep.2021.108510,Elsevier Ireland Ltd,Drug and Alcohol Dependence,2021.0,45.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Alcohol use appears to represent a risk factor for cyber aggression, though it is unclear if the disinhibitory properties of alcohol are the mechanism of action for substance-related cyber aggression.'}",469,5902898,Cory A. Crane,4784184,Brenton M. Wiernik,5325496,Cassandra Berbary,2005471936,Michele L. Crawford,5119452,R. Schlauch,34452525,C. Easton,65.0,928.0,19.0,88.0,1357.0,17.0,18.0,77.0,5.0,1.0,4.0,1.0,57.0,1254.0,17.0,93.0,2094.0,25.0,Medicine
470,"© 2021 Elsevier B.V.Background: This study examined the associations between feminine gender ideologies (i.e., socially constructed attitudes and beliefs of women's appropriate behavior and roles) and the syndemic comorbidities of harmful alcohol use, sexual violence, and sexually transmitted infections (STI), which disproportionately affect Black women. Methods: Black women, aged 18–44 (n = 305) were recruited from STI clinics in Baltimore, MD into a retrospective cohort study. A survey assessed feminine gender ideologies using a measure of hyperfemininity and sexual hyperfemininity (subscale of sexual domains), harmful drinking (AUDIT), lifetime STI (Y/N and count), and syndemic burden (no burden [0−1 morbidity] and syndemic burden [2−3 comorbidities]). Multivariable regression models identified correlates of harmful drinking, STI, and syndemic burden. The analytic sample included (n = 231) women with complete data. Results: Nearly half of our sample reported high hyperfemininity and high sexual hyperfemininity, 23% reported harmful drinking, 39% experienced sexual violence as an adult, and 74% reported a lifetime STI. High sexual hyperfemininity (Adjusted Odds Ratio [AOR] = 1.94, 95% Confidence Interval [CI]: 1.00–3.76) and sexual violence (AOR = 2.82, 95%CI: 1.43–5.58) were associated with greater odds of harmful drinking. Experiencing sexual violence in adulthood was associated with an increased count of lifetime STIs (Adjusted Incidence Rate Ratio [AIRR] = 1.33, 95%CI: 1.06–1.68). Syndemic burden affected 41% of our sample. High sexual hyperfemininity was associated with experiencing syndemic burden in unadjusted models (OR = 1.98, 95%CI: 1.16–3.37), but was not significant after controlling for confounders. Conclusions: Interventions to reduce harmful drinking and STIs among Black women in the U.S. should address sexual gender ideologies and sexual violence.",2021-04-01,Journal,Article,Drug and Alcohol Dependence,26380,2,221,"Feminine gender norms and syndemic harmful drinking, sexual violence, and sexually transmitted infections among Black women at risk for HIV",2,,10.1016/j.drugalcdep.2021.108566,Elsevier Ireland Ltd,Drug and Alcohol Dependence,2021.0,38.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Interventions to reduce harmful drinking and STIs among Black women in the U.S. should address sexual gender ideologies and sexual violence.'}",470,49796544,E. Chan,13126427,Christina J. Catabay,51392351,J. Campbell,3651240,A. Rudolph,40490264,J. Stockman,48317366,K. Tsuyuki,6.0,2.0,1.0,8.0,153.0,4.0,463.0,26348.0,74.0,67.0,934.0,16.0,115.0,2512.0,22.0,38.0,338.0,11.0,Medicine
471,"© 2021, Springer Science+Business Media, LLC, part of Springer Nature.Sexual minority emerging adults are more likely to engage in suicidal ideation than their heterosexual counterparts. Experiences of homophobic violence are associated with suicidal ideation. Yet, the specific mechanisms linking homophobic violence to suicidal ideation remain unclear. Entrapment and social belongingness were tested to determine their relevance for understanding the link between homophobic violence and suicidal ideation. A sample of sexual minority Dutch emerging adults (N = 675; ages 18–29, M = 21.93 years, SD = 3.20) were recruited through online platforms and flyers. Homophobic violence was expected to be positively associated with suicidal ideation and entrapment. The association between homophobic violence and suicidal ideation was expected to be indirectly linked through entrapment. We explored whether various sources of social belongingness moderated the path between entrapment and suicidal ideation and whether those sources of social belongingness moderated the indirect effect of homophobic violence on suicidal ideation through entrapment. Results showed that homophobic violence and entrapment were positively associated with suicidal ideation and that family belongingness was negatively associated with suicidal ideation. Homophobic violence and suicidal ideation were not indirectly linked through entrapment. The interaction effect between entrapment and family belongingness was significant, suggesting that, on average, the effect of entrapment on suicidal ideation decreased when family belongingness was high. These results suggest that family belongingness may reduce the association between entrapment and suicidal ideation while adjusting for homophonic violence. Reducing entrapment and improving family belongingness may be useful targets for programs aimed at preventing suicidal ideation among sexual minority emerging adults.",2021-04-01,Journal,Article,Archives of Sexual Behavior,27562,2,50,Family Belongingness Attenuates Entrapment and Buffers Its Association with Suicidal Ideation in a Sample of Dutch Sexual Minority Emerging Adults,2,,10.1007/s10508-020-01838-0,Springer,Archives of Sexual Behavior,2021.0,113.0,0.0,,471,145895549,Luis A. Parra,114606039,D. V. van Bergen,1479541008,E. Dumon,6439844,T. Kretschmer,4462509,Chaïm la Roi,6539503,G. Portzky,8.0,13.0,2.0,33.0,312.0,10.0,10.0,42.0,2.0,99.0,1010.0,19.0,14.0,100.0,5.0,61.0,1659.0,21.0,
472,"© The Author(s) 2020.Intimate partner violence (IPV) is a global health issue that encroaches beyond parameters of age, gender, sexual orientation and is the subject of extensive scholarly inquiry. Research on IPV in heterosexual couples, in particular on heterosexual women, has been prolific. However, there is a dearth of literature to document the distinct experiences of gay and bisexual men, despite the evidence of prevalence of IPV as reported equal or higher to heterosexual women. Studies have found that one in four gay men and four in 10 bisexual men have experienced IPV in their lifetime. This scoping review examines studies between 1931 and 2019 that had a predominant focus on violence among gay and bisexual men. Four electronic databases were searched in 2019. Arksey and O’Malley’s framework was utilized to extract 28 studies using a range of research designs that represented 13,224 sexual minority male participants. Across studies, gay and bisexual men were observed to experience IPV similarly to heterosexual couples involving psychological, physical, and sexual violence. However, as a marginalized and sexual minority group, they experience distinctive features of violence including sexual orientation outing, unprotected sexual intercourse, homophobia, internalized homophobia, and difficulties accessing minority men–focused services. Minority stress theory is posited as a useful lens in understanding the above features. In keeping with previous scholarship, a paucity of knowledge on gay and bisexual men’s experience of IPV was observed, and additional research is recommended.",2021-04-01,Journal,Review,"Trauma, Violence, and Abuse",13124,7,22,A Scoping Review of Intimate Partner Violence as It Relates to the Experiences of Gay and Bisexual Men,0,false,10.1177/1524838020970898,SAGE Publications Ltd,"Trauma, Violence, & Abuse",2020.0,110.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Across studies, gay and bisexual men were observed to experience IPV similarly to heterosexual couples involving psychological, physical, and sexual violence, however, as a marginalized and sexual minority group, they experience distinctive features of violence.'}",472,2026701750,Aisling Callan,29932765,M. Corbally,9866556,Rosaleen McElvaney,,,,,,,3.0,16.0,2.0,36.0,393.0,11.0,52.0,1191.0,14.0,,,,,,,,,,"Psychology, Medicine"
473,"© 2020Gender mainstreaming (GM) is a strategy to empower women and promote gender equality. Using mixed-methods, this study draws on perspectives of non-governmental organizations (NGOs) in Armenia and Georgia to investigate NGOs’ resistance to, versus embrace of, GM in rural development and agriculture (electronic surveys, 215 NGOs; in-person interviews, 53 NGOs). Applying Bourdieu's theory of field-habitus, and intersectionality as critical praxis, we suggest that NGO leaders' social belonging along with field-related experiences explain how GM is understood and endorsed. In Armenia and Georgia, GM without intersectionality – the critical inclusion of rural women's empowerment and equality – enforces a reductionist interpretation of social classifications. Analysis reveals that social belonging of NGO leaders is a determinant for choosing constituents: female NGO leaders include rural women; male leaders, rural men. Field practices are pivotal for formal adoption of GM (e.g. adhering to funders’ requirements, affiliation to international NGOs, engagement in feminist activism). Concurrently, internalization of social power structures grounds NGO leaders' thinking about gender equality. Respondents express three distinct narratives on GM urgency depending upon leaders' gender and organizations' self-reported feminist orientation. First, only female leaders of self-identified feminist NGOs support GM necessity in response to economic and political shocks that reinforce patriarchal dynamics. For feminist NGOs, violence against women intertwines with other rural livelihood threats. Intersectionality as critical praxis guides addressing gender-based rural inequalities. Second, female leaders of non-feminist NGOs employ GM primarily to improve rural households' wellbeing by targeting women in unpaid and new ventures. Rural household vulnerability outweighs gender-based inequality concerns. Third, interviewed male NGO leaders do not identify as feminist. They grudgingly accept GM as funders’ burdensome requirement that, given other rural challenges, overemphasizes women's equality and engagement. Beyond discussion of “how to do” gender or equality mainstreaming, this study emphasizes agents' identity and orientation.",2021-04-01,Journal,Article,World Development,30060,1,140,"Rural poverty, violence, and power: Rejecting and endorsing gender mainstreaming by food security NGOs in Armenia and Georgia",0,false,10.1016/j.worlddev.2020.105270,Elsevier Ltd,,2020.0,70.0,0.0,,473,13851343,Anna Jenderedjian,34449397,A. Bellows,,,,,,,,,8.0,28.0,2.0,64.0,1638.0,19.0,,,,,,,,,,,,,Political Science
474,"© 2020 Wiley Periodicals LLCPurpose: The aim of this study was to determine the relationship between self-esteem, perception of gender, and attitudes towards dating violence among university students. Design and Methods: This descriptive study with a correlational and cross-sectional design was conducted with the participation of 686 university students. Findings: Mother's educational level, gender, having a dating relationship, being exposed to dating violence in the relationship, perception of gender, self-esteem, and being exposed to/witnessing sexual/domestic violence were determined to be statistically significant predictive factors of the attitudes of the students towards dating violence. Practice Implications: Nurses should plan evidence-based and individualized counseling services for young people who are the victims of dating violence by considering possible risk factors.",2021-04-01,Journal,Article,Perspectives in Psychiatric Care,29343,2,57,"Relationship between self-esteem, perception of gender and attitudes towards dating violence among university students",1,true,10.1111/ppc.12634,Blackwell Publishing Inc.,,2020.0,0.0,0.0,,474,32288031,F. A. Yilmaz,80084445,Ayşe Şener Taplak,,,,,,,,,21.0,99.0,4.0,11.0,22.0,2.0,,,,,,,,,,,,,Psychology
475,"© The Author(s) 2018.The article evaluates the effectiveness of a 5-year social norms sexual violence prevention marketing campaign designed specifically for men on a large public university in the Southeastern United States. From 2010 through 2014, 4,158 men were asked about their self-reported attitudes, beliefs, and behavior related to sexual violence as well as their perception of their peers’ attitudes, beliefs, and behaviors. Using social norms theory, a social norms marketing campaign was developed to target highly discrepant attitudes, beliefs, and behaviors. Results indicate that both self-reported and perception of peer attitudes and beliefs improved over time, and the discrepancy between the two reduced over time. In addition, the frequency of positive and prosocial self-reported behavior increased on five of the six indicators. This study represents a significant contribution to the literature, as it uses 5 years of data and includes behavioral indicators to add evidence for the efficacy of targeting misperceptions of social norms as a mechanism to engage men in gender-based violence prevention.",2021-04-01,Journal,Article,Journal of Interpersonal Violence,20374,26,36,"Evaluation of a Social Norms Sexual Violence Prevention Marketing Campaign Targeted Toward College Men: Attitudes, Beliefs, and Behaviors Over 5 Years",0,false,10.1177/0886260518780411,SAGE Publications Inc.,Journal of Interpersonal Violence,2018.0,33.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'Evaluation of a 5-year social norms sexual violence prevention marketing campaign designed specifically for men on a large public university in the Southeastern United States indicates both self-reported and perception of peer attitudes and beliefs improved over time, and the discrepancy between the two reduced over time.'}",475,12273480,Annelise M. Mennicke,47532227,Stephanie C. Kennedy,50876104,J. Gromer,1485225384,Mara Klem-O'Connor,,,,,62.0,514.0,12.0,32.0,484.0,10.0,21.0,177.0,7.0,1.0,23.0,1.0,,,,,,,"Psychology, Medicine"
476,"© The Author(s) 2018.Totalitarian style partner control is seldom studied apart from intimate partner violence (IPV) independently as an outcome. This article uses a comparative study of Beijing and Seoul to begin to address this gap in the research. We collected three-stage probability proportional to size cluster samples of married/partnered women from Beijing (n = 301) and Seoul (n = 459), using refusal conversion to keep response rates high. We hypothesized (1) totalitarian style partner control will be positively associated with Confucian sex role norms at the (a) individual and (b) neighborhood levels, (2) totalitarian style partner control will be positively associated with IPV secrecy at the (a) individual and (b) neighborhood levels, and (3) totalitarian style partner control will be positively associated with the need for refusal conversion. Mixed effects (multilevel) regression models supported all three hypotheses at the individual level. Surprisingly, neighborhood socioeconomic status was positively associated with totalitarian style partner control. The combined data conceal important differences between Beijing and Seoul. The rate of totalitarian style partner control is more than 5 times higher in Seoul, and Confucian sex role norms, at both the individual and neighborhood levels, predict totalitarian style control there. Based on our findings, we infer that cultural emphases on face may play very different roles in the etiology of totalitarian partner control in the two cities.",2021-04-01,Journal,Article,Journal of Interpersonal Violence,20374,4,36,"A Comparative Study of Totalitarian Style Partner Control in Seoul and Beijing: Confucian Sex Role Norms, Secrecy, and Missing Data",0,false,10.1177/0886260518787208,SAGE Publications Inc.,Journal of Interpersonal Violence,2018.0,88.0,0.0,"{'model': 'tldr@v2.0.0', 'text': 'It is inferred that cultural emphases on face may play very different roles in the etiology of totalitarian partner control in the two cities, Beijing and Seoul.'}",476,5204177,Clifton R. Emery,3339337,Shali Wu,143796349,K. Chan,,,,,,,93.0,853.0,16.0,30.0,737.0,9.0,185.0,3736.0,32.0,,,,,,,,,,"Psychology, Medicine"
